"Object","Close-Approach (CA) Date","CA DistanceNominal (au)","CA DistanceMinimum (au)","V relative(km/s)","V infinity(km/s)","H(mag)","Diameter","Rarity"
"(2025 OG43)","2025-Jul-31 10:25 ±    00:50","0.08478","0.08399","14.85","14.85","25.2","24 m -   53 m","0"
"(2025 PC)","2025-Jul-31 13:18 ± < 00:01","0.00075","0.00075","9.48","9.10","29.4","3.5 m -  7.7 m","0"
"(2025 OR)","2025-Jul-31 15:35 ± < 00:01","0.03276","0.03252","7.97","7.96","24.9","27 m -   61 m","0"
"(2025 QE12)","2025-Jul-31 16:01 ±    01:19","0.07993","0.07832","6.68","6.68","24.9","28 m -   63 m","0"
"(2025 OC5)","2025-Jul-31 18:56 ±    01:39","0.03213","0.03202","3.41","3.39","27.9","7.0 m -   16 m","0"
"(2025 OY8)","2025-Jul-31 20:47 ± < 00:01","0.00460","0.00459","10.69","10.63","27.6","8.0 m -   18 m","0"
"(2025 DV24)","2025-Jul-31 23:27 ±    01:29","0.07661","0.07613","2.11","2.09","28.3","5.8 m -   13 m","0"
"(2025 OB22)","2025-Aug-01 00:24 ±    00:13","0.00622","0.00616","7.69","7.64","28.3","6.0 m -   13 m","0"
"(2025 PM3)","2025-Aug-01 00:29 ±    00:15","0.01730","0.01722","7.83","7.81","26.6","13 m -   29 m","0"
"(2025 OG2)","2025-Aug-01 01:47 ± < 00:01","0.07284","0.07151","36.17","36.17","22.3","92 m -  210 m","0"
"(2025 OQ4)","2025-Aug-01 14:34 ± < 00:01","0.09086","0.09057","8.88","8.88","25.1","25 m -   56 m","0"
"(2025 OY10)","2025-Aug-01 15:42 ± < 00:01","0.00615","0.00613","7.84","7.79","27.9","7.0 m -   16 m","0"
"35107 (1991 VH)","2025-Aug-02 03:26 ± < 00:01","0.07814","0.07814","8.67","8.67","16.9","0.929±0.035 km","2"
"(2024 RM12)","2025-Aug-02 09:08 ±    01:09","0.09229","0.09091","6.04","6.04","25.2","25 m -   55 m","0"
"(2025 PU)","2025-Aug-02 21:42 ± < 00:01","0.00035","0.00035","10.50","9.76","30.5","2.2 m -  4.8 m","0"
"(2025 PJ2)","2025-Aug-02 23:57 ± < 00:01","0.01058","0.01043","13.61","13.59","26.4","14 m -   31 m","0"
"(2025 OU12)","2025-Aug-03 01:40 ±    00:01","0.01498","0.01494","4.37","4.33","28.6","5.0 m -   11 m","0"
"(2025 OC6)","2025-Aug-03 04:33 ±    00:01","0.01609","0.01604","4.12","4.08","28.2","6.1 m -   14 m","0"
"(2021 JU1)","2025-Aug-03 07:12 ± < 00:01","0.08977","0.08977","5.57","5.56","24.6","32 m -   70 m","0"
"(2020 PN1)","2025-Aug-03 07:14 ± < 00:01","0.08374","0.08374","6.61","6.61","25.4","22 m -   48 m","0"
"(2025 PK3)","2025-Aug-03 14:46 ± < 00:01","0.05263","0.05246","9.05","9.04","25.3","23 m -   52 m","0"
"(2025 QM1)","2025-Aug-03 15:54 ±    00:17","0.01553","0.01536","11.45","11.43","24.6","32 m -   72 m","0"
"(2025 OW3)","2025-Aug-03 17:36 ± < 00:01","0.01973","0.01964","13.91","13.90","26.0","17 m -   38 m","0"
"(2025 OA3)","2025-Aug-04 02:39 ± < 00:01","0.01534","0.01528","13.64","13.63","24.9","28 m -   63 m","0"
"(2023 YO1)","2025-Aug-04 06:06 ± < 00:01","0.07265","0.07265","2.32","2.31","25.9","17 m -   39 m","0"
"(2025 PA)","2025-Aug-04 13:16 ± < 00:01","0.02203","0.02198","9.93","9.92","24.9","28 m -   63 m","0"
"(2025 OT7)","2025-Aug-05 04:57 ± < 00:01","0.02921","0.02897","21.63","21.63","24.1","41 m -   91 m","0"
"(2025 PN1)","2025-Aug-05 05:21 ±    00:05","0.06460","0.06399","12.06","12.06","24.1","39 m -   88 m","0"
"(2021 NX)","2025-Aug-06 03:55 ± < 00:01","0.07818","0.07818","4.07","4.06","25.3","23 m -   51 m","0"
"(2025 OW9)","2025-Aug-06 08:09 ± < 00:01","0.03786","0.03764","6.86","6.85","27.1","10 m -   23 m","0"
"(2025 QV2)","2025-Aug-07 00:31 ±    00:02","0.05521","0.05470","11.86","11.86","25.3","24 m -   53 m","0"
"(2025 OZ3)","2025-Aug-07 07:52 ±    00:01","0.08354","0.08317","6.01","6.01","25.3","23 m -   51 m","0"
"513138 (2002 CY58)","2025-Aug-07 10:33 ± < 00:01","0.07666","0.07666","11.70","11.70","21.0","170 m -  370 m","0"
"(2025 OQ5)","2025-Aug-07 13:11 ± < 00:01","0.01082","0.01081","16.69","16.67","24.4","35 m -   77 m","1"
"(2025 PS2)","2025-Aug-07 15:17 ± < 00:01","0.02167","0.02166","9.43","9.41","24.8","29 m -   66 m","0"
"(2025 QF)","2025-Aug-07 17:24 ±    00:02","0.04664","0.04639","12.16","12.15","25.5","21 m -   48 m","0"
"(2025 OT4)","2025-Aug-07 17:36 ± < 00:01","0.00993","0.00993","5.99","5.94","24.8","30 m -   66 m","1"
"(2025 OJ1)","2025-Aug-08 09:06 ± < 00:01","0.03440","0.03429","14.17","14.16","22.8","73 m -  160 m","1"
"(2025 QB1)","2025-Aug-08 15:05 ± < 00:01","0.01596","0.01591","5.93","5.90","26.4","14 m -   31 m","0"
"(2008 QU3)","2025-Aug-08 20:05 ± < 00:01","0.08494","0.08494","10.86","10.85","20.7","190 m -  430 m","0"
"(2019 CO1)","2025-Aug-08 21:46 ± 3_20:46","0.04565","0.00602","10.55","10.54","23.7","48 m -  110 m","0"
"(2013 RG74)","2025-Aug-08 22:50 ±    23:32","0.07982","0.07876","17.42","17.42","23.4","57 m -  130 m","0"
"(2025 RH1)","2025-Aug-08 23:44 ±    00:08","0.08673","0.08607","5.98","5.97","23.9","45 m -  100 m","0"
"(2025 OP9)","2025-Aug-08 23:48 ±    00:09","0.05657","0.05605","4.19","4.18","25.6","20 m -   45 m","0"
"(2025 PQ1)","2025-Aug-09 04:56 ± < 00:01","0.00218","0.00217","8.67","8.53","26.8","11 m -   26 m","1"
"(2025 OX7)","2025-Aug-09 07:18 ±    00:10","0.05119","0.05063","3.97","3.96","26.9","11 m -   25 m","0"
"(2025 OY12)","2025-Aug-09 13:41 ±    00:08","0.01058","0.01031","12.26","12.24","25.2","25 m -   55 m","0"
"(2025 QL2)","2025-Aug-09 14:06 ±    00:01","0.00948","0.00947","8.90","8.87","26.9","11 m -   25 m","0"
"(2025 QD)","2025-Aug-09 20:52 ± < 00:01","0.01329","0.01325","3.68","3.62","27.7","7.7 m -   17 m","0"
"(2025 PG2)","2025-Aug-10 10:42 ± < 00:01","0.02296","0.02292","6.94","6.92","25.9","17 m -   39 m","0"
"(2022 QB1)","2025-Aug-10 18:47 ± 4_18:05","0.02283","0.01480","3.85","3.82","28.9","4.4 m -  9.9 m","0"
"(2025 QO3)","2025-Aug-10 22:22 ±    00:02","0.01124","0.01117","5.81","5.77","26.9","11 m -   24 m","0"
"(2025 QW)","2025-Aug-11 00:30 ±    00:03","0.09025","0.09008","6.16","6.16","25.6","21 m -   46 m","0"
"(2025 PH2)","2025-Aug-11 03:16 ± < 00:01","0.01026","0.01025","2.02","1.89","27.5","8.3 m -   19 m","0"
"(2025 QW5)","2025-Aug-11 12:21 ±    00:04","0.03856","0.03829","6.54","6.52","26.2","16 m -   35 m","0"
"(2025 PV1)","2025-Aug-11 20:54 ± < 00:01","0.07725","0.07694","10.79","10.79","24.3","38 m -   84 m","0"
"(2025 OR12)","2025-Aug-11 23:49 ±    00:01","0.05510","0.05289","13.60","13.59","23.9","43 m -   96 m","0"
"(2025 OR4)","2025-Aug-12 01:55 ± < 00:01","0.00892","0.00891","4.57","4.51","26.4","14 m -   32 m","0"
"(2006 OE7)","2025-Aug-12 07:37 ± < 00:01","0.09291","0.09291","26.91","26.91","19.8","290 m -  640 m","1"
"(2016 QF84)","2025-Aug-12 10:34 ± < 00:01","0.06372","0.06372","7.59","7.58","23.3","57 m -  130 m","0"
"(2025 OZ2)","2025-Aug-12 17:02 ±    00:18","0.07235","0.07101","9.65","9.64","24.0","43 m -   96 m","0"
"(2025 QS11)","2025-Aug-12 17:25 ± < 00:01","0.07423","0.07416","6.47","6.47","24.7","31 m -   68 m","0"
"(2025 OU9)","2025-Aug-13 01:50 ±    17:04","0.07547","0.07459","3.43","3.42","26.3","15 m -   33 m","0"
"(2025 QU12)","2025-Aug-13 02:59 ±    00:58","0.03564","0.03543","12.06","12.05","25.0","27 m -   61 m","0"
"(2025 QQ4)","2025-Aug-13 03:43 ± < 00:01","0.06151","0.06151","12.01","12.01","23.0","66 m -  150 m","0"
"(2025 OJ10)","2025-Aug-13 04:11 ± < 00:01","0.02355","0.02350","6.44","6.42","25.6","20 m -   46 m","0"
"(2025 OL10)","2025-Aug-13 15:20 ±    00:03","0.02672","0.02660","7.19","7.17","27.6","8.0 m -   18 m","0"
"(2025 PU1)","2025-Aug-13 19:44 ± < 00:01","0.00020","0.00020","9.96","8.48","31.4","1.4 m -  3.1 m","0"
"(2025 QG)","2025-Aug-13 21:38 ± < 00:01","0.03058","0.03046","6.90","6.89","26.5","13 m -   30 m","0"
"(2025 QB)","2025-Aug-13 22:11 ±    00:01","0.00581","0.00580","12.22","12.18","26.3","15 m -   33 m","0"
"(2025 PB)","2025-Aug-13 23:55 ±    00:03","0.07679","0.07591","9.42","9.42","23.3","59 m -  130 m","0"
"(2025 QY19)","2025-Aug-14 02:06 ±    00:01","0.06027","0.06016","4.48","4.47","24.7","31 m -   69 m","0"
"(2025 QG1)","2025-Aug-14 02:10 ± < 00:01","0.01542","0.01529","13.59","13.58","27.1","10.0 m -   22 m","0"
"(2025 ME89)","2025-Aug-14 03:08 ± < 00:01","0.06198","0.06198","7.28","7.27","24.2","38 m -   86 m","0"
"(2025 TB1)","2025-Aug-14 15:53 ±    15:00","0.07393","0.07261","3.63","3.62","25.4","22 m -   49 m","0"
"(2025 QS4)","2025-Aug-14 16:15 ±    00:02","0.01557","0.01550","8.64","8.62","25.3","24 m -   53 m","0"
"(2025 QJ3)","2025-Aug-14 19:40 ± < 00:01","0.02487","0.02483","10.25","10.24","25.6","20 m -   45 m","0"
"(2025 QX)","2025-Aug-14 22:00 ± < 00:01","0.02822","0.02807","7.88","7.87","24.8","29 m -   65 m","0"
"(2025 QH1)","2025-Aug-14 22:22 ± < 00:01","0.01597","0.01591","9.19","9.17","27.5","8.4 m -   19 m","0"
"(2025 QJ10)","2025-Aug-14 23:13 ±    00:08","0.09307","0.09236","7.35","7.35","25.4","22 m -   50 m","0"
"(2025 PX1)","2025-Aug-14 23:43 ± < 00:01","0.02249","0.02246","5.76","5.74","26.7","12 m -   27 m","0"
"(2025 PF2)","2025-Aug-15 00:13 ± < 00:01","0.00015","0.00015","13.06","11.61","30.1","2.5 m -  5.6 m","1"
"(2021 PJ1)","2025-Aug-15 04:20 ± < 00:01","0.01108","0.01108","9.27","9.24","25.8","19 m -   41 m","0"
"(2025 PT1)","2025-Aug-15 07:35 ± < 00:01","0.01218","0.01215","12.53","12.51","26.6","13 m -   29 m","0"
"(2025 QJ1)","2025-Aug-15 13:07 ± < 00:01","0.02371","0.02329","13.58","13.57","25.7","19 m -   43 m","0"
"(2025 PW1)","2025-Aug-15 14:35 ± < 00:01","0.00185","0.00185","8.51","8.34","27.7","7.6 m -   17 m","0"
"(2025 QV7)","2025-Aug-15 15:16 ±    00:10","0.06375","0.06276","7.05","7.05","25.4","22 m -   49 m","0"
"(2025 QA)","2025-Aug-16 04:49 ± < 00:01","0.01517","0.01515","7.43","7.41","26.5","13 m -   30 m","0"
"(2025 PS1)","2025-Aug-16 05:29 ± < 00:01","0.06506","0.06503","10.61","10.60","23.4","56 m -  130 m","0"
"(2025 QQ)","2025-Aug-16 08:27 ± < 00:01","0.00687","0.00686","11.13","11.10","26.4","14 m -   31 m","0"
"(2025 OS13)","2025-Aug-16 10:58 ± < 00:01","0.08245","0.08212","17.12","17.11","22.6","81 m -  180 m","0"
"(2025 QJ7)","2025-Aug-16 11:38 ±    00:04","0.09056","0.08952","7.93","7.93","25.1","26 m -   57 m","0"
"(2025 QO)","2025-Aug-16 12:30 ± < 00:01","0.00800","0.00796","7.07","7.02","28.3","5.9 m -   13 m","0"
"(2025 QP1)","2025-Aug-16 14:35 ± < 00:01","0.00632","0.00630","15.49","15.47","26.1","16 m -   36 m","0"
"(2025 QU)","2025-Aug-16 17:04 ± < 00:01","0.01153","0.01147","9.81","9.79","27.3","9.1 m -   20 m","0"
"(2025 CO3)","2025-Aug-16 21:50 ± < 00:01","0.05077","0.05077","8.43","8.42","23.0","67 m -  150 m","0"
"(2025 QC2)","2025-Aug-16 22:12 ±    00:27","0.06468","0.06350","7.95","7.95","24.9","28 m -   62 m","0"
"(2025 PR1)","2025-Aug-16 23:48 ± < 00:01","0.00655","0.00655","7.92","7.87","27.1","10 m -   23 m","0"
"(2025 QF7)","2025-Aug-17 00:07 ±    00:22","0.02168","0.02146","8.83","8.82","25.4","22 m -   50 m","0"
"(2025 QA6)","2025-Aug-17 00:13 ±    00:05","0.03502","0.03479","6.56","6.55","26.5","14 m -   30 m","0"
"(2025 QR)","2025-Aug-17 05:38 ± < 00:01","0.01797","0.01788","12.19","12.18","25.7","20 m -   44 m","0"
"(2025 PH3)","2025-Aug-17 08:29 ±    00:04","0.03613","0.03592","7.18","7.17","25.3","23 m -   52 m","0"
"(2025 PM)","2025-Aug-17 09:03 ± < 00:01","0.00703","0.00703","13.50","13.47","24.1","39 m -   88 m","1"
"(2025 QG4)","2025-Aug-18 02:41 ±    00:15","0.00530","0.00529","6.04","5.96","28.5","5.2 m -   12 m","0"
"(2025 PL2)","2025-Aug-18 11:45 ± < 00:01","0.01163","0.01158","25.22","25.21","26.1","16 m -   36 m","0"
"(2025 QF3)","2025-Aug-18 14:49 ± < 00:01","0.01333","0.01323","7.67","7.64","28.5","5.3 m -   12 m","0"
"(2025 PB2)","2025-Aug-18 15:17 ± < 00:01","0.01440","0.01433","17.31","17.30","25.3","23 m -   52 m","0"
"(2025 QC)","2025-Aug-18 19:13 ± < 00:01","0.03729","0.03720","7.60","7.59","26.4","14 m -   32 m","0"
"(2025 PY1)","2025-Aug-18 22:10 ± < 00:01","0.00197","0.00197","6.80","6.60","27.7","7.6 m -   17 m","0"
"(2025 QA1)","2025-Aug-18 23:08 ± < 00:01","0.04187","0.04156","12.30","12.29","25.2","24 m -   54 m","0"
"(2025 QL3)","2025-Aug-19 13:00 ± < 00:01","0.01305","0.01303","4.20","4.15","27.6","8.1 m -   18 m","0"
"(2016 BP14)","2025-Aug-19 13:22 ± < 00:01","0.06445","0.06445","17.35","17.35","20.9","0.285±0.072 km","1"
"(2025 QY16)","2025-Aug-19 14:58 ± < 00:01","0.01095","0.01094","10.05","10.02","25.3","23 m -   52 m","0"
"(2020 PX5)","2025-Aug-19 23:01 ± 8_09:44","0.06333","0.00052","12.03","12.03","29.6","3.3 m -  7.3 m","0"
"(2025 NH3)","2025-Aug-19 23:28 ± < 00:01","0.05734","0.05734","22.58","22.58","20.0","270 m -  590 m","1"
"(2025 PM1)","2025-Aug-20 03:23 ± < 00:01","0.02489","0.02484","4.87","4.85","25.7","19 m -   43 m","0"
"(2025 QP3)","2025-Aug-20 06:15 ± < 00:01","0.00709","0.00709","6.05","5.99","24.5","33 m -   75 m","1"
"(2025 QD1)","2025-Aug-20 06:15 ±    00:15","0.08873","0.08803","12.70","12.70","24.8","29 m -   65 m","0"
"(2025 OO13)","2025-Aug-20 08:32 ± < 00:01","0.07225","0.07218","13.25","13.25","23.8","46 m -  100 m","0"
"(2025 OW19)","2025-Aug-20 09:13 ± < 00:01","0.07663","0.07661","6.75","6.74","23.5","53 m -  120 m","0"
"(2025 OV4)","2025-Aug-20 09:47 ± < 00:01","0.01933","0.01927","10.77","10.76","23.8","46 m -  100 m","0"
"(1997 QK1)","2025-Aug-20 10:25 ± < 00:01","0.02013","0.02013","9.83","9.82","20.3","230 m -  520 m","2"
"(2025 QC6)","2025-Aug-20 13:43 ±    00:02","0.01696","0.01682","18.47","18.46","26.3","14 m -   32 m","0"
"(2025 PW2)","2025-Aug-20 15:17 ± < 00:01","0.00997","0.00994","11.43","11.40","27.2","9.6 m -   21 m","0"
"(2025 QW11)","2025-Aug-20 16:28 ± < 00:01","0.03517","0.03505","7.61","7.60","25.6","20 m -   44 m","0"
"(2025 QT11)","2025-Aug-20 18:45 ±    00:01","0.06190","0.06122","18.51","18.51","23.8","47 m -  100 m","0"
"(2025 RB3)","2025-Aug-20 19:52 ±    00:21","0.03661","0.03646","4.28","4.27","25.2","24 m -   54 m","0"
"(2025 QC4)","2025-Aug-20 22:01 ± < 00:01","0.02378","0.02367","6.92","6.91","27.2","9.6 m -   21 m","0"
"(2015 UW67)","2025-Aug-21 01:26 ± < 00:01","0.06599","0.06599","8.19","8.19","22.6","78 m -  180 m","0"
"(2025 QE)","2025-Aug-21 05:09 ±    00:01","0.06215","0.06201","4.86","4.85","25.5","21 m -   47 m","0"
"(2025 OB3)","2025-Aug-21 07:31 ±    00:01","0.02245","0.02233","6.99","6.97","24.3","37 m -   83 m","0"
"(2025 QM3)","2025-Aug-21 12:00 ± < 00:01","0.00136","0.00136","9.25","9.04","28.8","4.7 m -   10 m","0"
"(2025 MR1)","2025-Aug-21 13:28 ± < 00:01","0.05530","0.05530","8.25","8.25","20.9","180 m -  400 m","1"
"(2025 QU4)","2025-Aug-21 14:20 ± < 00:01","0.02807","0.02790","18.38","18.37","25.6","20 m -   44 m","0"
"(2025 QU5)","2025-Aug-21 16:28 ±    00:01","0.00278","0.00277","8.97","8.86","28.5","5.3 m -   12 m","0"
"(2025 PN2)","2025-Aug-21 17:44 ± < 00:01","0.02543","0.02535","16.57","16.56","25.3","24 m -   53 m","0"
"(2022 QD3)","2025-Aug-21 21:19 ± < 00:01","0.03949","0.03949","6.95","6.94","25.2","24 m -   54 m","0"
"(2025 QY11)","2025-Aug-21 22:20 ± < 00:01","0.06034","0.05981","16.65","16.65","24.8","30 m -   66 m","0"
"(2025 QB4)","2025-Aug-22 01:26 ± < 00:01","0.00514","0.00513","13.70","13.67","28.3","5.9 m -   13 m","0"
"(2025 QV4)","2025-Aug-22 04:35 ± < 00:01","0.01065","0.01062","16.73","16.72","25.2","24 m -   54 m","0"
"(2025 QY)","2025-Aug-22 06:49 ± < 00:01","0.01922","0.01912","7.76","7.74","26.9","11 m -   25 m","0"
"(2025 QG2)","2025-Aug-22 08:10 ± < 00:01","0.08781","0.08695","17.53","17.53","24.2","39 m -   87 m","0"
"(2014 QQ33)","2025-Aug-22 08:57 ± < 00:01","0.09216","0.09216","10.20","10.20","22.1","100 m -  220 m","0"
"(2023 PX)","2025-Aug-22 11:21 ± 1_10:07","0.00621","0.00620","8.35","8.30","25.9","17 m -   39 m","1"
"(2025 PO2)","2025-Aug-22 11:51 ± < 00:01","0.08809","0.08797","21.07","21.06","22.7","77 m -  170 m","0"
"(2025 QE4)","2025-Aug-22 14:02 ± < 00:01","0.00343","0.00342","6.38","6.25","27.8","7.4 m -   16 m","0"
"(2025 QE2)","2025-Aug-22 20:13 ± < 00:01","0.04380","0.04376","7.24","7.23","25.0","27 m -   60 m","0"
"(2025 QY3)","2025-Aug-22 21:39 ±    00:02","0.09133","0.09075","9.83","9.83","24.6","31 m -   70 m","0"
"(2025 OE20)","2025-Aug-23 06:36 ± < 00:01","0.06034","0.06028","9.73","9.73","23.1","65 m -  140 m","0"
"(2025 QA5)","2025-Aug-23 17:16 ± < 00:01","0.00655","0.00654","8.04","7.99","27.7","7.5 m -   17 m","0"
"(2025 ST2)","2025-Aug-23 21:09 ±    00:04","0.08598","0.08574","7.53","7.53","23.8","45 m -  100 m","0"
"(2025 PR)","2025-Aug-23 21:44 ± < 00:01","0.04497","0.04492","3.37","3.35","26.0","17 m -   38 m","0"
"(2025 QF4)","2025-Aug-23 22:30 ± < 00:01","0.01079","0.01076","10.70","10.68","27.3","9.2 m -   21 m","0"
"(2025 QT39)","2025-Aug-23 22:33 ±    00:02","0.06095","0.06028","6.33","6.32","25.7","20 m -   44 m","0"
"(2025 QL10)","2025-Aug-24 06:03 ±    00:03","0.09156","0.09090","9.14","9.14","23.9","43 m -   96 m","0"
"(2025 QC5)","2025-Aug-24 07:32 ± < 00:01","0.05746","0.05721","12.82","12.81","25.1","25 m -   56 m","0"
"(2025 OA13)","2025-Aug-24 15:07 ±    00:15","0.06954","0.06719","6.79","6.79","24.7","31 m -   69 m","0"
"(2019 QQ6)","2025-Aug-24 18:35 ± < 00:01","0.02765","0.02765","17.06","17.05","25.4","22 m -   50 m","0"
"(2025 RY)","2025-Aug-24 20:59 ±    00:53","0.00862","0.00857","8.17","8.13","26.8","12 m -   26 m","0"
"(2025 QG13)","2025-Aug-24 21:05 ± < 00:01","0.02481","0.02471","9.02","9.01","25.6","20 m -   45 m","0"
"(2025 QV21)","2025-Aug-24 22:59 ±    00:03","0.00784","0.00777","10.55","10.52","27.8","7.4 m -   16 m","0"
"(2025 QK15)","2025-Aug-25 00:09 ± < 00:01","0.05822","0.05765","23.57","23.57","24.8","29 m -   65 m","0"
"(2025 RE1)","2025-Aug-25 03:36 ±    00:02","0.02246","0.02227","5.31","5.28","26.6","13 m -   29 m","0"
"(2025 QS1)","2025-Aug-25 09:26 ±    00:02","0.09573","0.09358","9.86","9.86","23.8","47 m -  100 m","0"
"(2025 QP8)","2025-Aug-25 09:53 ±    00:02","0.08608","0.08558","7.51","7.50","24.6","32 m -   70 m","0"
"(2025 SU1)","2025-Aug-25 17:07 ±    07:15","0.07982","0.07715","14.79","14.79","24.0","43 m -   96 m","0"
"(2025 QS12)","2025-Aug-25 19:53 ±    00:03","0.02695","0.02680","9.22","9.21","25.9","17 m -   39 m","0"
"(2025 QE16)","2025-Aug-25 20:56 ± < 00:01","0.01301","0.01300","3.95","3.90","25.3","23 m -   51 m","0"
"(2025 QV3)","2025-Aug-25 23:41 ± < 00:01","0.02531","0.02522","6.20","6.19","27.6","8.1 m -   18 m","0"
"(2025 QM14)","2025-Aug-26 02:14 ± < 00:01","0.01782","0.01777","10.84","10.83","25.4","22 m -   49 m","0"
"(2025 QZ8)","2025-Aug-26 02:32 ±    00:01","0.04092","0.04069","8.60","8.60","25.4","22 m -   49 m","0"
"(2025 QL1)","2025-Aug-26 02:49 ± < 00:01","0.06832","0.06808","7.09","7.08","24.4","35 m -   79 m","0"
"(2025 QB3)","2025-Aug-26 08:03 ±    00:05","0.04887","0.04871","7.04","7.03","26.1","16 m -   36 m","0"
"(2025 QW3)","2025-Aug-26 10:01 ± < 00:01","0.09415","0.09407","6.25","6.24","25.2","24 m -   55 m","0"
"(2025 QY9)","2025-Aug-26 11:17 ± < 00:01","0.02074","0.02071","17.17","17.16","23.4","56 m -  130 m","1"
"(2025 QK7)","2025-Aug-26 15:27 ± < 00:01","0.05916","0.05889","14.99","14.99","24.3","37 m -   82 m","0"
"(2025 QK3)","2025-Aug-26 15:43 ± < 00:01","0.03003","0.02988","12.72","12.71","24.9","28 m -   62 m","0"
"(2025 QB5)","2025-Aug-26 17:07 ± < 00:01","0.02995","0.02992","4.76","4.74","25.7","20 m -   44 m","0"
"(2025 QS16)","2025-Aug-26 19:55 ±    00:02","0.05155","0.05124","8.80","8.80","25.2","24 m -   55 m","0"
"(2024 CL)","2025-Aug-26 21:55 ± 8_07:36","0.07735","0.06407","14.22","14.22","25.1","25 m -   57 m","0"
"(2025 QC1)","2025-Aug-27 01:06 ± < 00:01","0.01082","0.01078","9.43","9.40","26.1","16 m -   35 m","0"
"(2025 QW9)","2025-Aug-27 03:45 ±    00:02","0.01320","0.01317","6.28","6.25","28.2","6.2 m -   14 m","0"
"(2014 PS59)","2025-Aug-27 04:31 ± < 00:01","0.06325","0.06325","14.93","14.92","20.6","0.206±0.050 km","1"
"(2025 QD4)","2025-Aug-27 08:56 ± < 00:01","0.07644","0.07612","13.27","13.27","24.3","38 m -   84 m","0"
"(2025 QM9)","2025-Aug-27 09:36 ± < 00:01","0.00894","0.00892","11.00","10.97","26.3","15 m -   33 m","0"
"(2025 PM2)","2025-Aug-27 12:27 ± < 00:01","0.02490","0.02487","18.50","18.50","23.9","45 m -  100 m","0"
"(2025 QK17)","2025-Aug-27 14:40 ±    00:07","0.00067","0.00067","12.30","11.97","30.1","2.5 m -  5.6 m","0"
"(2025 QX4)","2025-Aug-27 16:21 ± < 00:01","0.00940","0.00937","6.89","6.85","25.9","18 m -   40 m","0"
"(2025 QV13)","2025-Aug-28 04:24 ± < 00:01","0.01435","0.01431","18.32","18.31","26.8","12 m -   26 m","0"
"(2025 RY1)","2025-Aug-28 05:39 ±    00:01","0.02982","0.02965","5.38","5.36","22.0","110 m -  240 m","1"
"(2025 SW1)","2025-Aug-28 15:44 ±    00:41","0.04784","0.04716","6.74","6.73","26.0","17 m -   38 m","0"
"(2025 QB13)","2025-Aug-28 17:10 ± < 00:01","0.01413","0.01407","20.33","20.32","25.5","21 m -   47 m","0"
"(2025 QP)","2025-Aug-28 23:09 ± < 00:01","0.05458","0.05432","8.01","8.00","24.2","39 m -   88 m","0"
"(2025 PX)","2025-Aug-29 02:50 ± < 00:01","0.04218","0.04208","7.01","7.00","24.1","39 m -   88 m","0"
"(2025 QM23)","2025-Aug-29 03:35 ± < 00:01","0.00932","0.00931","6.79","6.75","26.8","12 m -   26 m","0"
"(2025 QY7)","2025-Aug-29 05:00 ± < 00:01","0.00452","0.00451","7.19","7.11","29.0","4.2 m -  9.4 m","0"
"(2025 QY4)","2025-Aug-29 05:56 ± < 00:01","0.03021","0.03015","13.52","13.51","24.1","40 m -   90 m","0"
"(2025 QC18)","2025-Aug-29 16:58 ±    00:20","0.06508","0.06475","8.81","8.80","25.9","18 m -   39 m","0"
"(2025 QT7)","2025-Aug-29 17:49 ±    00:02","0.06883","0.06831","12.43","12.42","24.8","29 m -   64 m","0"
"(2017 RK15)","2025-Aug-29 17:50 ±    00:03","0.04037","0.04030","13.20","13.20","25.7","19 m -   43 m","0"
"(2020 TS1)","2025-Aug-29 18:43 ±    19:47","0.04549","0.04541","3.27","3.25","29.2","3.8 m -  8.6 m","0"
"(2025 RT)","2025-Aug-30 11:44 ± < 00:01","0.01036","0.01035","9.65","9.62","26.4","14 m -   31 m","0"
"(1998 SH2)","2025-Aug-30 13:23 ± < 00:01","0.02078","0.02078","17.30","17.29","20.9","0.383±0.057 km","2"
"(2025 QK6)","2025-Aug-30 17:34 ± < 00:01","0.00714","0.00704","21.50","21.48","26.8","12 m -   26 m","0"
"(2025 RC)","2025-Aug-30 20:19 ± < 00:01","0.00884","0.00882","12.43","12.40","27.1","10 m -   23 m","0"
"(2025 RZ5)","2025-Aug-30 23:39 ±    00:01","0.05879","0.05850","5.03","5.02","24.6","32 m -   73 m","0"
"(2025 QO14)","2025-Aug-31 01:38 ± < 00:01","0.01204","0.01201","10.81","10.79","27.0","11 m -   24 m","0"
"(2025 OW12)","2025-Aug-31 03:28 ± < 00:01","0.09953","0.09953","6.07","6.06","23.9","43 m -   96 m","0"
"(2025 NO3)","2025-Aug-31 05:08 ± < 00:01","0.09199","0.09193","14.40","14.40","22.0","110 m -  240 m","0"
"(2025 RG)","2025-Aug-31 07:02 ± < 00:01","0.00706","0.00703","14.27","14.24","28.2","6.0 m -   13 m","0"
"(2025 RF1)","2025-Aug-31 11:47 ± < 00:01","0.01991","0.01988","7.79","7.77","26.0","17 m -   38 m","0"
"(2025 SE26)","2025-Aug-31 13:26 ±    02:58","0.09378","0.09197","7.01","7.01","24.5","34 m -   76 m","0"
"(2025 QO7)","2025-Aug-31 13:51 ± < 00:01","0.00182","0.00182","8.17","7.99","27.0","11 m -   24 m","1"
